Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,PowerPlan,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,N,Mean,Error,StdDev,Ratio,Rank,Gen 0,Gen 1,Gen 2,Allocated
Sequential,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000000,146.22 ms,3.4596 ms,6.5823 ms,1.00,1,-,-,-,-
Parallel,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000000,26.51 ms,0.5227 ms,1.1584 ms,1.00,1,-,-,-,2160 B
ParallelLINQ,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000000,28.72 ms,0.1893 ms,0.1678 ms,1.00,1,-,-,-,8904 B
ParallelThreadLocal,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000000,26.14 ms,0.3676 ms,0.3259 ms,1.00,1,-,-,-,2264 B
Sequential,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000000,"3,539.09 ms",68.5005 ms,76.1381 ms,1.00,1,-,-,-,-
Parallel,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000000,631.07 ms,12.3148 ms,21.2424 ms,1.00,1,-,-,-,2160 B
ParallelLINQ,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000000,718.63 ms,27.1812 ms,80.1443 ms,1.00,1,-,-,-,8952 B
ParallelThreadLocal,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000000,687.25 ms,15.6689 ms,16.0908 ms,1.00,1,-,-,-,2264 B
Sequential,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100000000,"95,030.35 ms","1,837.9549 ms","2,116.5917 ms",1.00,1,-,-,-,-
Parallel,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100000000,"16,395.70 ms",319.7883 ms,488.3505 ms,1.00,1,-,-,-,2160 B
ParallelLINQ,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100000000,"15,846.99 ms",315.1558 ms,309.5251 ms,1.00,1,-,-,-,8952 B
ParallelThreadLocal,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100000000,"15,712.02 ms",174.6045 ms,145.8027 ms,1.00,1,-,-,-,2264 B
