Date,Open,High,Low,Close,Volume
17-Aug-17,977.84,977.84,960.32,960.57,3512397
16-Aug-17,981.65,986.46,973.22,978.18,3132066
15-Aug-17,988.90,991.74,982.00,982.74,2549295
14-Aug-17,978.41,985.50,976.19,983.30,3172892
11-Aug-17,960.00,970.39,951.38,967.99,3468017
10-Aug-17,976.30,979.86,954.68,956.92,5684068
9-Aug-17,982.60,988.00,975.27,982.01,3569731
8-Aug-17,994.35,996.28,985.79,989.84,2902815
7-Aug-17,990.65,995.00,987.14,992.27,2676607
4-Aug-17,989.68,991.67,982.00,987.58,2730308
3-Aug-17,999.47,999.50,984.59,986.92,3255764
2-Aug-17,1001.77,1003.21,981.73,995.89,4069993
1-Aug-17,996.11,1006.40,991.58,996.19,4572576
31-Jul-17,1019.05,1019.05,987.02,987.78,7352063
28-Jul-17,1012.14,1032.85,1001.00,1020.04,7709420
27-Jul-17,1069.55,1083.31,1040.18,1046.00,10991715
26-Jul-17,1043.20,1053.20,1043.20,1052.80,2921253
25-Jul-17,1038.05,1043.33,1032.48,1039.87,2447629
24-Jul-17,1028.34,1043.01,1027.43,1038.95,3288020
21-Jul-17,1021.28,1026.10,1011.00,1025.67,2734577
20-Jul-17,1031.59,1034.97,1022.52,1028.70,3097487
19-Jul-17,1025.00,1031.59,1022.50,1026.87,2963964
18-Jul-17,1006.00,1026.03,1004.00,1024.45,4007624
17-Jul-17,1004.69,1014.75,1003.81,1010.04,3712587
14-Jul-17,1002.40,1004.45,996.89,1001.81,2102469
13-Jul-17,1004.62,1006.88,995.90,1000.63,2880769
12-Jul-17,1000.65,1008.55,998.10,1006.51,3608574
11-Jul-17,993.00,995.99,983.72,994.13,2982726
10-Jul-17,985.00,999.44,983.50,996.47,3546268
7-Jul-17,969.55,980.11,969.14,978.76,2643387
6-Jul-17,964.66,974.40,959.02,965.14,3259613
5-Jul-17,961.53,975.00,955.25,971.40,3652955
3-Jul-17,972.79,974.49,951.00,953.66,2909108
30-Jun-17,980.12,983.47,967.61,968.00,3390345
29-Jun-17,979.00,987.56,965.25,975.93,4302968
28-Jun-17,978.55,990.68,969.21,990.33,3737567
27-Jun-17,990.69,998.80,976.00,976.78,3782389
26-Jun-17,1008.50,1009.80,992.00,993.98,3386157
23-Jun-17,1002.54,1004.62,998.02,1003.74,2879145
22-Jun-17,1002.23,1006.96,997.20,1001.30,2253433
21-Jun-17,998.70,1002.72,992.65,1002.23,2922473
20-Jun-17,998.00,1004.88,992.02,992.59,4076828
19-Jun-17,1017.00,1017.00,989.90,995.17,5043408
16-Jun-17,996.00,999.75,982.00,987.71,11472662
15-Jun-17,958.70,965.73,950.86,964.17,5373865
14-Jun-17,988.59,990.34,966.71,976.47,3974900
13-Jun-17,977.99,984.50,966.10,980.79,4580011
12-Jun-17,967.00,975.95,945.00,964.91,9447233
9-Jun-17,1012.50,1012.99,927.00,978.31,7647692
8-Jun-17,1012.06,1013.61,1006.11,1010.27,2767857
7-Jun-17,1005.95,1010.25,1002.00,1010.07,2823041
6-Jun-17,1012.00,1016.50,1001.25,1003.00,3346432
5-Jun-17,1007.23,1013.21,1003.51,1011.34,2719859
2-Jun-17,998.99,1008.48,995.67,1006.73,3752328
1-Jun-17,998.59,998.99,991.37,995.95,2454841
31-May-17,1000.00,1000.12,982.16,994.62,3913115
30-May-17,996.51,1001.20,995.52,996.70,3263069
26-May-17,995.00,998.65,989.25,995.78,3469154
25-May-17,984.85,999.00,982.11,993.38,4822032
24-May-17,976.00,981.00,970.23,980.35,2463052
23-May-17,975.02,975.20,966.85,971.54,2415594
22-May-17,964.00,971.38,962.90,970.67,2642217
19-May-17,962.84,968.92,959.72,959.84,3972089
18-May-17,944.80,962.75,944.76,958.49,3939347
17-May-17,954.70,960.40,944.12,944.76,5145578
16-May-17,961.00,970.06,960.91,966.07,3126051
15-May-17,958.73,963.15,956.06,957.97,4270625
12-May-17,954.50,962.79,951.53,961.35,3625857
11-May-17,945.11,950.29,940.78,947.62,2194070
10-May-17,953.50,953.75,945.00,948.95,2096512
9-May-17,952.80,957.89,950.20,952.82,3262113
8-May-17,940.95,949.05,939.21,949.04,3415731
5-May-17,940.52,940.79,930.30,934.15,2866397
4-May-17,944.75,945.00,934.22,937.53,2418381
3-May-17,946.00,946.00,935.90,941.03,3582686
2-May-17,946.64,950.10,941.41,946.94,3848835
1-May-17,927.80,954.40,927.80,948.23,5466544
28-Apr-17,948.83,949.59,924.33,924.99,7364681
27-Apr-17,914.39,921.86,912.11,918.38,5305543
26-Apr-17,910.30,915.75,907.56,909.29,2608948
25-Apr-17,907.04,909.48,903.00,907.62,3380639
24-Apr-17,908.68,909.99,903.82,907.41,3122893
21-Apr-17,902.67,903.65,896.77,898.53,2420494
20-Apr-17,899.70,905.32,896.29,902.06,2814441
19-Apr-17,907.84,910.50,897.37,899.20,2870242
18-Apr-17,900.99,909.61,900.78,903.78,2999238
17-Apr-17,887.50,902.38,887.50,901.99,2854673
13-Apr-17,891.45,894.97,884.49,884.67,3174583
12-Apr-17,903.09,904.09,895.25,896.23,2456140
11-Apr-17,907.04,911.24,897.50,902.36,3012743
10-Apr-17,899.63,908.51,899.00,907.04,3184301
7-Apr-17,899.65,900.09,889.31,894.88,3710922
6-Apr-17,913.80,917.19,894.49,898.28,6344065
5-Apr-17,910.82,923.72,905.62,909.28,7508370
4-Apr-17,891.50,908.54,890.28,906.83,4984656
3-Apr-17,888.00,893.49,885.42,891.51,3422328
31-Mar-17,877.00,890.35,876.65,886.54,3957612
30-Mar-17,874.95,877.06,871.66,876.34,2762730
29-Mar-17,859.05,876.44,859.02,874.32,4485770
28-Mar-17,851.75,858.46,850.10,856.00,3041633
27-Mar-17,838.07,850.30,833.50,846.82,2755775
24-Mar-17,851.68,851.80,843.53,845.61,2138269
23-Mar-17,848.20,850.89,844.80,847.38,1952964
22-Mar-17,840.43,849.37,839.05,848.06,2658669
21-Mar-17,858.84,862.80,841.31,843.20,4382852
20-Mar-17,851.51,857.80,851.01,856.97,2282727
17-Mar-17,853.49,853.83,850.64,852.31,3384403
16-Mar-17,855.30,855.50,850.51,853.42,1842296
15-Mar-17,854.33,854.45,847.11,852.97,2562176
14-Mar-17,853.55,853.75,847.55,852.53,2130586
13-Mar-17,851.77,855.69,851.71,854.59,1909672
10-Mar-17,857.00,857.35,851.72,852.46,2436434
9-Mar-17,851.00,856.40,850.31,853.00,2048187
8-Mar-17,848.00,853.07,846.79,850.50,2288317
7-Mar-17,845.48,848.46,843.75,846.02,2247554
6-Mar-17,845.23,848.49,841.12,846.61,2610370
3-Mar-17,847.20,851.98,846.27,849.88,1951575
2-Mar-17,853.08,854.82,847.28,848.91,2132098
1-Mar-17,853.05,854.83,849.01,853.08,2760083
28-Feb-17,851.45,854.09,842.05,845.04,2793709
27-Feb-17,842.38,852.50,839.67,848.64,2713627
24-Feb-17,844.69,845.81,837.75,845.24,3687963
23-Feb-17,857.57,860.86,848.00,852.19,3461984
22-Feb-17,856.95,858.43,852.18,855.61,2616971
21-Feb-17,848.84,857.98,847.25,856.44,3507742
17-Feb-17,842.00,847.27,840.73,845.07,3112275
16-Feb-17,841.84,845.00,839.38,844.14,2714667
15-Feb-17,834.00,842.81,832.82,842.70,2968853
14-Feb-17,837.00,838.31,831.45,836.39,2792442
13-Feb-17,831.62,843.00,828.55,836.53,4172618
10-Feb-17,823.82,828.00,822.85,827.46,2429609
9-Feb-17,821.60,825.00,819.71,821.36,2484948
8-Feb-17,812.69,821.48,812.50,819.71,2857985
7-Feb-17,809.31,816.16,807.50,812.50,3466091
6-Feb-17,809.80,810.72,803.00,807.64,3897301
3-Feb-17,806.72,818.30,804.00,810.20,10868773
